forecast_horizon_hours,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
24,0,0.0,0.1,264,0.03236742424242424,0.022727272727272728,-0.009640151515151511,0.4782608695652174
24,1,0.1,0.2,89,0.1505056179775281,0.07865168539325842,-0.07185393258426967,0.161231884057971
24,2,0.2,0.30000000000000004,74,0.25195945945945947,0.24324324324324326,-0.00871621621621621,0.13405797101449277
24,3,0.30000000000000004,0.4,62,0.35088709677419355,0.3064516129032258,-0.04443548387096774,0.11231884057971014
24,4,0.4,0.5,41,0.4413414634146341,0.6097560975609756,0.1684146341463415,0.07427536231884058
24,5,0.5,0.6000000000000001,10,0.5465,0.5,-0.046499999999999986,0.018115942028985508
24,6,0.6000000000000001,0.7000000000000001,4,0.64125,1.0,0.35875,0.007246376811594203
24,7,0.7000000000000001,0.8,3,0.7566666666666667,1.0,0.2433333333333333,0.005434782608695652
24,8,0.8,0.9,4,0.83375,1.0,0.16625,0.007246376811594203
24,9,0.9,1.0,1,0.915,1.0,0.08499999999999996,0.0018115942028985507
12,0,0.0,0.1,345,0.0196231884057971,0.008695652173913044,-0.010927536231884057,0.625
12,1,0.1,0.2,45,0.14077777777777778,0.1111111111111111,-0.029666666666666675,0.08152173913043478
12,2,0.2,0.30000000000000004,28,0.24910714285714283,0.2857142857142857,0.036607142857142866,0.050724637681159424
12,3,0.30000000000000004,0.4,34,0.35000000000000003,0.29411764705882354,-0.055882352941176494,0.06159420289855073
12,4,0.4,0.5,25,0.4506,0.4,-0.05059999999999998,0.04528985507246377
12,5,0.5,0.6000000000000001,33,0.543939393939394,0.6060606060606061,0.06212121212121213,0.059782608695652176
12,6,0.6000000000000001,0.7000000000000001,17,0.6420588235294117,0.7647058823529411,0.12264705882352944,0.030797101449275364
12,7,0.7000000000000001,0.8,6,0.7358333333333333,0.8333333333333334,0.09750000000000003,0.010869565217391304
12,8,0.8,0.9,6,0.8641666666666667,0.8333333333333334,-0.03083333333333338,0.010869565217391304
12,9,0.9,1.0,13,0.9615384615384616,1.0,0.038461538461538436,0.02355072463768116
6,0,0.0,0.1,447,0.007774049217002236,0.0044742729306487695,-0.003299776286353467,0.8112522686025408
6,1,0.1,0.2,8,0.13125,0.25,0.11875,0.014519056261343012
6,2,0.2,0.30000000000000004,3,0.2483333333333333,0.3333333333333333,0.08500000000000002,0.0054446460980036296
6,3,0.30000000000000004,0.4,1,0.35,1.0,0.65,0.0018148820326678765
6,4,0.4,0.5,0,,,,0.0
6,5,0.5,0.6000000000000001,0,,,,0.0
6,6,0.6000000000000001,0.7000000000000001,3,0.6383333333333333,0.3333333333333333,-0.305,0.0054446460980036296
6,7,0.7000000000000001,0.8,1,0.78,1.0,0.21999999999999997,0.0018148820326678765
6,8,0.8,0.9,9,0.8494444444444444,0.7777777777777778,-0.07166666666666666,0.016333938294010888
6,9,0.9,1.0,79,0.9851898734177215,0.9746835443037974,-0.010506329113924018,0.14337568058076225
1,0,0.0,0.1,444,0.005337837837837838,0.0022522522522522522,-0.0030855855855855857,0.8252788104089219
1,1,0.1,0.2,2,0.1475,0.0,-0.1475,0.0037174721189591076
1,2,0.2,0.30000000000000004,0,,,,0.0
1,3,0.30000000000000004,0.4,0,,,,0.0
1,4,0.4,0.5,0,,,,0.0
1,5,0.5,0.6000000000000001,0,,,,0.0
1,6,0.6000000000000001,0.7000000000000001,0,,,,0.0
1,7,0.7000000000000001,0.8,1,0.715,1.0,0.28500000000000003,0.0018587360594795538
1,8,0.8,0.9,0,,,,0.0
1,9,0.9,1.0,91,0.9938461538461538,0.989010989010989,-0.004835164835164774,0.1691449814126394
