pair,model,feature,estimate_type,estimate,train_observations,train_events
24h_to_12h,linear_regression,intercept,intercept,-0.033553334113399336,384,64
24h_to_12h,linear_regression,numeric__midpoint_probability,standardized_coefficient,0.033258748414336924,384,64
24h_to_12h,linear_regression,numeric__bid_ask_spread,standardized_coefficient,-0.015133725249542065,384,64
24h_to_12h,linear_regression,numeric__volume,standardized_coefficient,-0.0035997089129757923,384,64
24h_to_12h,linear_regression,numeric__open_interest,standardized_coefficient,-0.0007741583818583544,384,64
24h_to_12h,linear_regression,numeric__delta_p_1h,standardized_coefficient,0.013582318529132425,384,64
24h_to_12h,linear_regression,numeric__delta_p_6h,standardized_coefficient,0.0022365154965237333,384,64
24h_to_12h,linear_regression,numeric__volatility_6h,standardized_coefficient,0.012089091345610512,384,64
24h_to_12h,linear_regression,numeric__volatility_24h,standardized_coefficient,-0.011930103095210828,384,64
24h_to_12h,linear_regression,numeric__volume_6h,standardized_coefficient,0.03547010090458954,384,64
24h_to_12h,linear_regression,numeric__volume_24h,standardized_coefficient,-0.02422598986230089,384,64
24h_to_12h,linear_regression,numeric__time_to_close,standardized_coefficient,-3.7383290907300193e-16,384,64
24h_to_12h,linear_regression,numeric__missingindicator_delta_p_1h,standardized_coefficient,0.0007497466027355723,384,64
24h_to_12h,linear_regression,numeric__missingindicator_delta_p_6h,standardized_coefficient,-0.006137267869673755,384,64
24h_to_12h,linear_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,0.0765965304712663,384,64
24h_to_12h,linear_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,0.021297119292630298,384,64
24h_to_12h,linear_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,0.0212703880830101,384,64
24h_to_12h,linear_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,-0.03593628191991913,384,64
24h_to_12h,linear_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,0.16670841054066882,384,64
24h_to_12h,linear_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,0.03778925045328514,384,64
24h_to_12h,linear_regression,bucket__bucket_label_50° or below,standardized_coefficient,0.09615199492619217,384,64
24h_to_12h,linear_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,-0.03862216066194503,384,64
24h_to_12h,linear_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,-0.051632980904654756,384,64
24h_to_12h,linear_regression,bucket__bucket_label_52° or below,standardized_coefficient,0.08338850308648421,384,64
24h_to_12h,linear_regression,bucket__bucket_label_52° to 53°,standardized_coefficient,-0.005030616054497741,384,64
24h_to_12h,linear_regression,bucket__bucket_label_53° or below,standardized_coefficient,0.12103064995670677,384,64
24h_to_12h,linear_regression,bucket__bucket_label_53° to 54°,standardized_coefficient,0.04165090366831102,384,64
24h_to_12h,linear_regression,bucket__bucket_label_54° to 55°,standardized_coefficient,-0.050822802729640425,384,64
24h_to_12h,linear_regression,bucket__bucket_label_55° or below,standardized_coefficient,0.07264144972801034,384,64
24h_to_12h,linear_regression,bucket__bucket_label_55° to 56°,standardized_coefficient,-0.045789603049112275,384,64
24h_to_12h,linear_regression,bucket__bucket_label_56° to 57°,standardized_coefficient,0.034980256014381816,384,64
24h_to_12h,linear_regression,bucket__bucket_label_57° to 58°,standardized_coefficient,0.06784938380911659,384,64
24h_to_12h,linear_regression,bucket__bucket_label_58° to 59°,standardized_coefficient,-0.016206043425478364,384,64
24h_to_12h,linear_regression,bucket__bucket_label_59° or above,standardized_coefficient,0.035378970568842566,384,64
24h_to_12h,linear_regression,bucket__bucket_label_59° to 60°,standardized_coefficient,0.1217381116638542,384,64
24h_to_12h,linear_regression,bucket__bucket_label_60° or below,standardized_coefficient,0.15184889859431863,384,64
24h_to_12h,linear_regression,bucket__bucket_label_60° to 61°,standardized_coefficient,0.0012992322548489033,384,64
24h_to_12h,linear_regression,bucket__bucket_label_61° or above,standardized_coefficient,0.04491741020954544,384,64
24h_to_12h,linear_regression,bucket__bucket_label_61° or below,standardized_coefficient,0.011023280663885887,384,64
24h_to_12h,linear_regression,bucket__bucket_label_61° to 62°,standardized_coefficient,0.03163524971721508,384,64
24h_to_12h,linear_regression,bucket__bucket_label_62° or above,standardized_coefficient,0.04942274436332133,384,64
24h_to_12h,linear_regression,bucket__bucket_label_62° to 63°,standardized_coefficient,0.024250473124136515,384,64
24h_to_12h,linear_regression,bucket__bucket_label_63° to 64°,standardized_coefficient,-0.015051149446683322,384,64
24h_to_12h,linear_regression,bucket__bucket_label_64° or above,standardized_coefficient,0.06617521650831282,384,64
24h_to_12h,linear_regression,bucket__bucket_label_64° to 65°,standardized_coefficient,-0.03763139114318334,384,64
24h_to_12h,linear_regression,bucket__bucket_label_65° to 66°,standardized_coefficient,0.004540238540437447,384,64
24h_to_12h,linear_regression,bucket__bucket_label_66° to 67°,standardized_coefficient,0.006518234245935867,384,64
24h_to_12h,linear_regression,bucket__bucket_label_67° to 68°,standardized_coefficient,0.012439049797536612,384,64
24h_to_12h,linear_regression,bucket__bucket_label_68° to 69°,standardized_coefficient,-0.053715268861119166,384,64
24h_to_12h,linear_regression,bucket__bucket_label_69° or above,standardized_coefficient,0.03869783824226887,384,64
24h_to_12h,linear_regression,bucket__bucket_label_69° to 70°,standardized_coefficient,-0.03685652057031727,384,64
24h_to_12h,linear_regression,bucket__bucket_label_70° or above,standardized_coefficient,0.13414531028595406,384,64
24h_to_12h,linear_regression,bucket__bucket_label_70° to 71°,standardized_coefficient,0.05928883411178985,384,64
24h_to_12h,linear_regression,bucket__bucket_label_72° to 73°,standardized_coefficient,0.11142689511017405,384,64
24h_to_12h,linear_regression,bucket__bucket_label_74° to 75°,standardized_coefficient,0.02892261392825009,384,64
24h_to_12h,linear_regression,bucket__bucket_label_76° to 77°,standardized_coefficient,-0.010850606886323888,384,64
24h_to_12h,linear_regression,bucket__bucket_label_83° to 84°,standardized_coefficient,-0.03456886517145563,384,64
24h_to_12h,linear_regression,bucket__bucket_label_infrequent_sklearn,standardized_coefficient,0.05726390396617044,384,64
24h_to_12h,ridge_regression,intercept,intercept,-0.0054216497302384415,384,64
24h_to_12h,ridge_regression,numeric__midpoint_probability,standardized_coefficient,0.02640486146716607,384,64
24h_to_12h,ridge_regression,numeric__bid_ask_spread,standardized_coefficient,-0.013155513565884933,384,64
24h_to_12h,ridge_regression,numeric__volume,standardized_coefficient,-0.004643613923839096,384,64
24h_to_12h,ridge_regression,numeric__open_interest,standardized_coefficient,-0.008925529267616247,384,64
24h_to_12h,ridge_regression,numeric__delta_p_1h,standardized_coefficient,0.009491188202124494,384,64
24h_to_12h,ridge_regression,numeric__delta_p_6h,standardized_coefficient,0.009552642585403047,384,64
24h_to_12h,ridge_regression,numeric__volatility_6h,standardized_coefficient,0.00838104632079752,384,64
24h_to_12h,ridge_regression,numeric__volatility_24h,standardized_coefficient,-0.008977745351309402,384,64
24h_to_12h,ridge_regression,numeric__volume_6h,standardized_coefficient,0.015671288276241615,384,64
24h_to_12h,ridge_regression,numeric__volume_24h,standardized_coefficient,0.006845588718938104,384,64
24h_to_12h,ridge_regression,numeric__time_to_close,standardized_coefficient,0.0,384,64
24h_to_12h,ridge_regression,numeric__missingindicator_delta_p_1h,standardized_coefficient,0.0005520344457133945,384,64
24h_to_12h,ridge_regression,numeric__missingindicator_delta_p_6h,standardized_coefficient,-0.0025919125386548005,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,0.018277239284260945,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,0.0011706574453396576,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,-0.001723706955585753,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,-0.02017725102890065,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_48° to 49°,standardized_coefficient,0.03738759624717209,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_49° to 50°,standardized_coefficient,0.004721309859279003,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_50° or below,standardized_coefficient,0.01842309422302691,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_50° to 51°,standardized_coefficient,-0.023473049275523298,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_51° to 52°,standardized_coefficient,-0.03598827061469854,384,64
24h_to_12h,ridge_regression,bucket__bucket_label_52° or below,standardized_coefficient,0.01129423143005017,384,64
