pair,now_horizon_hours,later_horizon_hours,model,model_status,status_reason,train_observations,train_events,test_observations,test_events,train_start_date,train_end_date,test_start_date,test_end_date,oos_r2_vs_zero,rmse,baseline_rmse,rmse_improvement,mae,baseline_mae,mae_improvement,sign_accuracy,baseline_sign_accuracy,sign_tolerance,predicted_probability_bound_violation_fraction,squared_loss_difference,squared_loss_ci_lower,squared_loss_ci_upper,squared_loss_pvalue,absolute_loss_difference,absolute_loss_ci_lower,absolute_loss_ci_upper,absolute_loss_pvalue,block_length_events,bootstrap_iterations,numeric_features_used,numeric_features_unavailable,unseen_bucket_observation_fraction,unseen_bucket_labels,squared_loss_pvalue_adjusted_bh,beats_zero_change_5pct
24h_to_12h,24,12,zero_change_baseline,evaluated,,384,64,168,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,0.0,0.1257749785851512,0.1257749785851512,0.0,0.0805357142857143,0.0805357142857143,0.0,0.16071428571428573,0.16071428571428573,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.13095238095238096,13,,False
24h_to_12h,24,12,linear_regression,evaluated,,384,64,168,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,0.06432298082000398,0.12166263928486927,0.1257749785851512,0.004112339300281917,0.08217960177516288,0.0805357142857143,-0.0016438874894485894,0.44642857142857145,0.16071428571428573,0.005,0.19642857142857142,-0.0010175474403350208,-0.002713737474101132,0.001195178876062012,0.34382808595702147,0.0016438874894486005,-0.006234637918026645,0.007847360078319402,0.6446776611694153,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.13095238095238096,13,0.45757121439280357,False
24h_to_12h,24,12,ridge_regression,evaluated,,384,64,168,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,0.06091982675342311,0.12188368827221256,0.1257749785851512,0.003891290312938625,0.07768732323604297,0.0805357142857143,0.0028483910496713283,0.5,0.16071428571428573,0.005,0.20238095238095238,-0.0009637117712573516,-0.002211602028936557,0.0008604554073351424,0.24087956021989004,-0.0028483910496713135,-0.008801501341533475,0.0016747984740988946,0.31584207896051975,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.13095238095238096,13,0.45757121439280357,False
24h_to_12h,24,12,random_forest,skipped,requires >= 100 train events and >= 1000 rows; observed 64 events and 384 rows,384,64,168,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,,,,,,,,,,0.005,,,,,,,,,,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,delta_p_24h,0.13095238095238096,13,,False
12h_to_6h,12,6,zero_change_baseline,evaluated,,384,64,167,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,0.0,0.21763150749349738,0.21763150749349738,0.0,0.1197005988023952,0.1197005988023952,0.0,0.41916167664670656,0.41916167664670656,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.1317365269461078,13,,False
12h_to_6h,12,6,linear_regression,evaluated,,384,64,167,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,-0.23066263610276216,0.24143002423784232,0.21763150749349738,-0.02379851674434494,0.15695173279674274,0.1197005988023952,-0.03725113399434754,0.32335329341317365,0.41916167664670656,0.005,0.2215568862275449,0.011045346531286259,0.0028647526234563715,0.020040119362681224,0.009495252373813094,0.03751613993410917,0.02132052324188539,0.05304972492546881,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.1317365269461078,13,0.056971514242878565,False
12h_to_6h,12,6,ridge_regression,evaluated,,384,64,167,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,-0.09953858979141605,0.228205973561825,0.21763150749349738,-0.010574466068327626,0.13560533991192444,0.1197005988023952,-0.015904741109529247,0.32934131736526945,0.41916167664670656,0.005,0.17365269461077845,0.00471853338881656,-0.000991887190011587,0.010559966116914283,0.12243878060969515,0.016001078109321158,0.006913122014305201,0.024927978467322653,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.1317365269461078,13,0.36731634182908546,False
12h_to_6h,12,6,random_forest,skipped,requires >= 100 train events and >= 1000 rows; observed 64 events and 384 rows,384,64,167,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,,,,,,,,,,0.005,,,,,,,,,,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.1317365269461078,13,,False
6h_to_1h,6,1,zero_change_baseline,evaluated,,379,64,158,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,0.0,0.12862404740024413,0.12862404740024413,0.0,0.02946202531645569,0.02946202531645569,0.0,0.8544303797468354,0.8544303797468354,0.005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.12658227848101267,13,,False
6h_to_1h,6,1,linear_regression,evaluated,,379,64,158,28,2026-03-01,2026-05-03,2026-05-04,2026-05-31,0.005149817862243999,0.12829242469160157,0.12862404740024413,0.00033162270864256493,0.03837457791000841,0.02946202531645569,-0.008912552593552718,0.5126582278481012,0.8544303797468354,0.005,0.24050632911392406,-0.00013976119606625716,-0.001063915364507283,0.0005340478261947245,0.7331334332833583,0.008851194385031114,0.005025537837995597,0.012207479884048236,0.0004997501249375312,7,2000,midpoint_probability|bid_ask_spread|volume|open_interest|delta_p_1h|delta_p_6h|delta_p_24h|volatility_6h|volatility_24h|volume_6h|volume_24h|time_to_close,,0.12658227848101267,13,0.7331334332833583,False
