forecast_horizon_hours,bin,bin_lower,bin_upper,count,mean_prediction,empirical_rate,calibration_gap,weight
24,0,0.0,0.1,2585,0.04167311411992263,0.027079303675048357,-0.014593810444874275,0.3268015170670038
24,1,0.1,0.2,1384,0.1480708092485549,0.12066473988439307,-0.02740606936416183,0.174968394437421
24,2,0.2,0.30000000000000004,1108,0.253677797833935,0.23736462093862815,-0.01631317689530687,0.14007585335018963
24,3,0.30000000000000004,0.4,1126,0.35074156305506216,0.3410301953818828,-0.009711367673179372,0.14235145385587863
24,4,0.4,0.5,949,0.4520073761854584,0.3835616438356164,-0.06844573234984197,0.11997471554993679
24,5,0.5,0.6000000000000001,439,0.5401822323462415,0.42596810933940776,-0.11421412300683376,0.05549936788874842
24,6,0.6000000000000001,0.7000000000000001,161,0.646583850931677,0.6149068322981367,-0.03167701863354033,0.020353982300884955
24,7,0.7000000000000001,0.8,83,0.7540361445783132,0.6867469879518072,-0.06728915662650603,0.010493046776232617
24,8,0.8,0.9,45,0.848111111111111,0.8222222222222222,-0.02588888888888885,0.005689001264222503
24,9,0.9,1.0,30,0.9376666666666666,0.9333333333333333,-0.0043333333333333,0.0037926675094816687
12,0,0.0,0.1,3634,0.029883048981838193,0.020088057237204183,-0.00979499174463401,0.4420386814256173
12,1,0.1,0.2,1045,0.1482153110047847,0.12822966507177033,-0.019985645933014357,0.1271134898430848
12,2,0.2,0.30000000000000004,709,0.2522355430183357,0.27221438645980256,0.019978843441466887,0.08624254956817905
12,3,0.30000000000000004,0.4,613,0.3520880913539967,0.3360522022838499,-0.016035889070146803,0.07456513806106313
12,4,0.4,0.5,800,0.46109375,0.33625,-0.12484375000000003,0.09731176255929935
12,5,0.5,0.6000000000000001,596,0.547256711409396,0.46308724832214765,-0.08416946308724838,0.07249726310667802
12,6,0.6000000000000001,0.7000000000000001,366,0.6459972677595629,0.5655737704918032,-0.08042349726775966,0.04452013137087946
12,7,0.7000000000000001,0.8,178,0.7466292134831461,0.5955056179775281,-0.15112359550561805,0.021651867169444106
12,8,0.8,0.9,108,0.8518981481481481,0.8333333333333334,-0.018564814814814756,0.013137087945505412
12,9,0.9,1.0,172,0.9696220930232559,0.9825581395348837,0.01293604651162783,0.02092202895024936
6,0,0.0,0.1,4239,0.01326492097192734,0.004010379806558151,-0.009254541165369189,0.6515524131570858
6,1,0.1,0.2,208,0.14704326923076924,0.0673076923076923,-0.07973557692307694,0.03197048877958807
6,2,0.2,0.30000000000000004,139,0.24884892086330931,0.1366906474820144,-0.11215827338129492,0.021364893944051645
6,3,0.30000000000000004,0.4,70,0.35485714285714287,0.17142857142857143,-0.18342857142857144,0.010759299108515216
6,4,0.4,0.5,305,0.4829672131147541,0.2459016393442623,-0.2370655737704918,0.04687980325853059
6,5,0.5,0.6000000000000001,124,0.5406451612903226,0.5403225806451613,-0.00032258064516133,0.019059329849369814
6,6,0.6000000000000001,0.7000000000000001,79,0.6543037974683544,0.7974683544303798,0.14316455696202535,0.012142637565324316
6,7,0.7000000000000001,0.8,124,0.7533467741935485,0.9354838709677419,0.18213709677419343,0.019059329849369814
6,8,0.8,0.9,160,0.8568749999999999,0.95,0.09312500000000001,0.02459268367660621
6,9,0.9,1.0,1058,0.9790879017013232,0.9914933837429112,0.012405482041587979,0.16261912081155855
1,0,0.0,0.1,3401,0.008069685386650986,0.0011761246692149367,-0.006893560717436049,0.7128484594424649
1,1,0.1,0.2,61,0.14418032786885246,0.06557377049180328,-0.07860655737704918,0.012785579543072731
1,2,0.2,0.30000000000000004,39,0.24397435897435898,0.07692307692307693,-0.16705128205128206,0.008174386920980926
1,3,0.30000000000000004,0.4,17,0.3573529411764706,0.23529411764705882,-0.12205882352941178,0.0035631942988891218
1,4,0.4,0.5,95,0.48278947368421055,0.07368421052631578,-0.40910526315789475,0.019911968140850975
1,5,0.5,0.6000000000000001,30,0.539,0.7,0.16099999999999992,0.006287989939216097
1,6,0.6000000000000001,0.7000000000000001,21,0.6588095238095237,0.6666666666666666,0.007857142857142896,0.004401592957451268
1,7,0.7000000000000001,0.8,34,0.7508823529411766,0.8823529411764706,0.131470588235294,0.0071263885977782436
1,8,0.8,0.9,38,0.8640789473684211,0.9736842105263158,0.10960526315789476,0.007964787256340389
1,9,0.9,1.0,1035,0.9895458937198068,0.9971014492753624,0.007555555555555538,0.21693565290295536
