pair,model,feature,estimate_type,estimate,train_observations,train_events
24h_to_12h,linear_regression,intercept,intercept,-0.005783265657241174,4402,1193
24h_to_12h,linear_regression,numeric__midpoint_probability,standardized_coefficient,0.003823026094875142,4402,1193
24h_to_12h,linear_regression,numeric__bid_ask_spread,standardized_coefficient,-0.048003199952561144,4402,1193
24h_to_12h,linear_regression,numeric__volume,standardized_coefficient,-0.0021007028137151303,4402,1193
24h_to_12h,linear_regression,numeric__open_interest,standardized_coefficient,0.0020848924093094003,4402,1193
24h_to_12h,linear_regression,numeric__delta_p_1h,standardized_coefficient,-0.0222236056093112,4402,1193
24h_to_12h,linear_regression,numeric__delta_p_6h,standardized_coefficient,-0.008466700215385065,4402,1193
24h_to_12h,linear_regression,numeric__volatility_6h,standardized_coefficient,0.003189630318768538,4402,1193
24h_to_12h,linear_regression,numeric__volatility_24h,standardized_coefficient,-0.0026560186771201165,4402,1193
24h_to_12h,linear_regression,numeric__volume_6h,standardized_coefficient,-0.004614338783405856,4402,1193
24h_to_12h,linear_regression,numeric__volume_24h,standardized_coefficient,-0.0008941516359227478,4402,1193
24h_to_12h,linear_regression,numeric__time_to_close,standardized_coefficient,-0.003084220190649585,4402,1193
24h_to_12h,linear_regression,numeric__missingindicator_delta_p_1h,standardized_coefficient,0.00029693635122498424,4402,1193
24h_to_12h,linear_regression,numeric__missingindicator_delta_p_6h,standardized_coefficient,-0.002386357969397117,4402,1193
24h_to_12h,linear_regression,numeric__missingindicator_volatility_6h,standardized_coefficient,0.006195867518845731,4402,1193
24h_to_12h,linear_regression,numeric__missingindicator_volatility_24h,standardized_coefficient,-0.00592267420337186,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_26° to 27°,standardized_coefficient,0.14481359834118449,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_28° to 29°,standardized_coefficient,0.12199292372698209,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_29° to 30°,standardized_coefficient,-0.020980533597340756,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_30° to 31°,standardized_coefficient,-0.20541919995093033,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_31° to 32°,standardized_coefficient,-0.0638921488088601,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_32° to 33°,standardized_coefficient,0.10914985619932968,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_33° to 34°,standardized_coefficient,0.053790705632592264,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_34° to 35°,standardized_coefficient,0.06981598042836154,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_35° or below,standardized_coefficient,-0.06098045024442795,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_35° to 36°,standardized_coefficient,-0.021378496275820714,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_36° or below,standardized_coefficient,-0.1236413042168574,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_36° to 37°,standardized_coefficient,0.037098938414944355,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_37° to 38°,standardized_coefficient,-0.01585346919099015,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_38° to 39°,standardized_coefficient,0.011156535908161465,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_39° or above,standardized_coefficient,0.08309833659546481,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_39° or lower,standardized_coefficient,-0.16843509613185526,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_39° to 40°,standardized_coefficient,0.028804279391526244,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_40° or above,standardized_coefficient,-0.2774322429626784,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_40° or below,standardized_coefficient,-0.0639377927432947,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_40° to 41°,standardized_coefficient,0.029849344769763732,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_41° or above,standardized_coefficient,-0.020709156115582723,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_41° or below,standardized_coefficient,-0.17533333509025323,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_41° or lower,standardized_coefficient,-0.10798793672223668,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_41° to 42°,standardized_coefficient,-0.04472354752584292,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_42° or above,standardized_coefficient,0.061701565543315864,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_42° to 43°,standardized_coefficient,-0.056489826401447125,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_43° or above,standardized_coefficient,0.08406970864415984,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_43° to 44°,standardized_coefficient,0.06629863351986237,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_44° or above,standardized_coefficient,0.00922364085541913,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_44° or below,standardized_coefficient,0.08927342326942013,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_44° to 45°,standardized_coefficient,0.04375433209319354,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_45° or above,standardized_coefficient,-0.031438497090908096,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_45° or below,standardized_coefficient,-0.21925488212607197,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_45° or lower,standardized_coefficient,0.16116682766173374,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_45° to 46°,standardized_coefficient,0.023473549807977424,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_46° or above,standardized_coefficient,0.05508801726176267,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_46° or higher,standardized_coefficient,-0.03339167756129875,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_46° to 47°,standardized_coefficient,-0.007073093510859635,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_47° or above,standardized_coefficient,-0.048020987221385536,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_47° or below,standardized_coefficient,-0.08694225341403537,4402,1193
24h_to_12h,linear_regression,bucket__bucket_label_47° to 48°,standardized_coefficient,-0.03695290002014048,4402,1193
