pair,model,extreme_group,observations,events,oos_r2_vs_zero,rmse,baseline_rmse,squared_loss_difference,ci_lower,ci_upper
24h_to_12h,zero_change_baseline,extreme,877,152,0.0,0.153772959739651,0.153772959739651,0.0,0.0,0.0
24h_to_12h,zero_change_baseline,normal,2082,353,0.0,0.1389106531138308,0.1389106531138308,0.0,0.0,0.0
24h_to_12h,linear_regression,extreme,877,152,-0.1800516659995077,0.1670438475794779,0.153772959739651,0.0042575238670634,0.002545624040874,0.0059949521732819
24h_to_12h,linear_regression,normal,2082,353,-0.2085287142766434,0.1527087914133504,0.1389106531138308,0.0040238054264151,0.0032543705697397,0.0047628758100488
24h_to_12h,ridge_regression,extreme,877,152,-0.0570514805683484,0.1580986068323673,0.153772959739651,0.0013490463352431,-4.359871097631221e-05,0.002478922478862
24h_to_12h,ridge_regression,normal,2082,353,-0.1272782227274953,0.1474861068510995,0.1389106531138308,0.0024559821655828,0.0018643175141381,0.0030557491684329
24h_to_12h,random_forest,extreme,877,152,-0.0035498708307668,0.1540456550179619,0.153772959739651,8.39406828205807e-05,-0.000274887955029,0.0004628228465827
24h_to_12h,random_forest,normal,2082,353,-0.0309548484351649,0.1410442467889578,0.1389106531138308,0.0005973100037534,0.0003524477570832,0.0008357549804367
12h_to_6h,zero_change_baseline,extreme,850,152,0.0,0.2822341539343862,0.2822341539343862,0.0,0.0,0.0
12h_to_6h,zero_change_baseline,normal,2016,354,0.0,0.2729343414850992,0.2729343414850992,0.0,0.0,0.0
12h_to_6h,linear_regression,extreme,850,152,-0.094456068439565,0.295262800479775,0.2822341539343862,0.0075240037001006,0.0031690037899972,0.0118439266688115
12h_to_6h,linear_regression,normal,2016,354,-0.1418034536981918,0.2916445462956863,0.2729343414850992,0.010563386622112,0.0085094022645988,0.0127001032468947
12h_to_6h,ridge_regression,extreme,850,152,-0.0404095299623818,0.2878801554810693,0.2822341539343862,0.0032188662727458,0.0002879003268437,0.0060400617294072
12h_to_6h,ridge_regression,normal,2016,354,-0.0857439905428465,0.2843949632453365,0.2729343414850992,0.0063873403574115,0.0047907980873375,0.0079907899138882
12h_to_6h,random_forest,extreme,850,152,-0.0041450573462167,0.2828184874131867,0.2822341539343862,0.000330179175624,-0.0026792424697733,0.0034005565243195
12h_to_6h,random_forest,normal,2016,354,-0.0378275559313348,0.278048644557319,0.2729343414850992,0.0028178939782575,0.0011232447843076,0.0044945448132692
6h_to_1h,zero_change_baseline,extreme,807,152,0.0,0.1014692254699528,0.1014692254699528,0.0,0.0,0.0
6h_to_1h,zero_change_baseline,normal,1806,349,0.0,0.1113525523693029,0.1113525523693029,0.0,0.0,0.0
6h_to_1h,linear_regression,extreme,807,152,-0.3690248796840885,0.118724408823709,0.1014692254699528,0.003799481533067,0.0028358792690098,0.0047794892459925
6h_to_1h,linear_regression,normal,1806,349,-0.3109701051648526,0.1274960031423305,0.1113525523693029,0.0038558398981107,0.0030368481471185,0.0048301274349581
6h_to_1h,ridge_regression,extreme,807,152,-0.1146147439149047,0.1071264558682732,0.1014692254699528,0.0011800738294249,0.0007638175725589,0.0016717692536786
6h_to_1h,ridge_regression,normal,1806,349,-0.1497137867578069,0.1193974484114125,0.1113525523693029,0.0018563597679975,0.0012092389913751,0.0026100296745163
6h_to_1h,random_forest,extreme,807,152,-0.0388973787393422,0.1034238428679398,0.1014692254699528,0.0004004875561001,-6.04630685001977e-05,0.0009589822475731
6h_to_1h,random_forest,normal,1806,349,-0.0051588338963901,0.1116394075464694,0.1113525523693029,6.396639816834511e-05,-0.0003586851929114,0.0005752566662499
