event_id,event_date,temperature_proxy,strike_type,extreme_group
HIGHNY-22DEC22,2022-12-22,50.0,less,normal
HIGHNY-22DEC23,2022-12-23,57.5,between,normal
HIGHNY-22DEC24,2022-12-24,19.0,less,extreme
HIGHNY-22DEC25,2022-12-25,27.5,between,extreme
HIGHNY-22DEC26,2022-12-26,28.5,between,extreme
HIGHNY-22DEC27,2022-12-27,35.5,between,extreme
HIGHNY-22DEC28,2022-12-28,46.5,between,normal
HIGHNY-22DEC29,2022-12-29,51.0,greater,normal
HIGHNY-22DEC30,2022-12-30,58.0,greater,normal
HIGHNY-22DEC31,2022-12-31,54.5,between,normal
HIGHNY-23APR01,2023-04-01,72.0,greater,normal
HIGHNY-23APR02,2023-04-02,50.5,between,normal
HIGHNY-23APR03,2023-04-03,58.5,between,normal
HIGHNY-23APR04,2023-04-04,70.0,greater,normal
HIGHNY-23APR05,2023-04-05,57.5,between,normal
HIGHNY-23APR06,2023-04-06,77.0,greater,normal
HIGHNY-23APR07,2023-04-07,60.5,between,normal
HIGHNY-23APR08,2023-04-08,53.5,between,normal
HIGHNY-23APR09,2023-04-09,56.5,between,normal
HIGHNY-23APR10,2023-04-10,64.0,greater,normal
HIGHNY-23APR11,2023-04-11,72.0,greater,normal
HIGHNY-23APR12,2023-04-12,80.0,greater,normal
HIGHNY-23APR13,2023-04-13,90.0,greater,extreme
HIGHNY-23APR14,2023-04-14,90.0,greater,extreme
HIGHNY-23APR15,2023-04-15,72.0,greater,normal
HIGHNY-23APR16,2023-04-16,70.5,between,normal
HIGHNY-23APR17,2023-04-17,67.5,between,normal
HIGHNY-23APR18,2023-04-18,56.5,between,normal
HIGHNY-23APR19,2023-04-19,63.5,between,normal
HIGHNY-23APR20,2023-04-20,66.0,less,normal
HIGHNY-23APR21,2023-04-21,70.5,between,normal
HIGHNY-23APR22,2023-04-22,66.5,between,normal
HIGHNY-23APR23,2023-04-23,69.5,between,normal
HIGHNY-23APR24,2023-04-24,61.5,between,normal
HIGHNY-23APR25,2023-04-25,60.5,between,normal
HIGHNY-23APR26,2023-04-26,60.5,between,normal
HIGHNY-23APR27,2023-04-27,58.0,less,normal
HIGHNY-23APR28,2023-04-28,58.0,less,normal
HIGHNY-23APR29,2023-04-29,52.5,between,normal
HIGHNY-23APR30,2023-04-30,59.5,between,normal
HIGHNY-23AUG01,2023-08-01,81.5,between,normal
HIGHNY-23AUG02,2023-08-02,81.5,between,normal
HIGHNY-23AUG03,2023-08-03,80.5,between,normal
HIGHNY-23AUG04,2023-08-04,76.5,between,normal
HIGHNY-23AUG05,2023-08-05,87.5,between,extreme
HIGHNY-23AUG06,2023-08-06,87.5,between,extreme
HIGHNY-23AUG07,2023-08-07,80.5,between,normal
HIGHNY-23AUG08,2023-08-08,79.5,between,normal
HIGHNY-23AUG09,2023-08-09,86.5,between,extreme
HIGHNY-23AUG10,2023-08-10,81.5,between,normal
HIGHNY-23AUG11,2023-08-11,84.5,between,normal
HIGHNY-23AUG12,2023-08-12,84.5,between,normal
HIGHNY-23AUG13,2023-08-13,88.5,between,extreme
HIGHNY-23AUG14,2023-08-14,86.5,between,extreme
HIGHNY-23AUG15,2023-08-15,80.5,between,normal
HIGHNY-23AUG16,2023-08-16,81.5,between,normal
HIGHNY-23AUG17,2023-08-17,79.5,between,normal
HIGHNY-23AUG18,2023-08-18,80.5,between,normal
HIGHNY-23AUG19,2023-08-19,78.5,between,normal
HIGHNY-23AUG20,2023-08-20,84.5,between,normal
HIGHNY-23AUG21,2023-08-21,87.5,between,extreme
HIGHNY-23AUG22,2023-08-22,78.5,between,normal
HIGHNY-23AUG23,2023-08-23,79.5,between,normal
HIGHNY-23AUG24,2023-08-24,72.5,between,normal
HIGHNY-23AUG25,2023-08-25,77.5,between,normal
HIGHNY-23AUG26,2023-08-26,83.5,between,normal
HIGHNY-23AUG27,2023-08-27,84.0,greater,normal
HIGHNY-23AUG28,2023-08-28,75.5,between,normal
HIGHNY-23AUG29,2023-08-29,79.5,between,normal
