table,forecast_horizon_hours,observations,events,mean_volume_6h,volume_6h_ci_lower,volume_6h_ci_upper,mean_volume_24h,volume_24h_ci_lower,volume_24h_ci_upper,mean_open_interest,open_interest_ci_lower,open_interest_ci_upper,interval,interval_hours,volume_per_hour,volume_per_hour_ci_lower,volume_per_hour_ci_upper,log_volume_6h_growth,log_volume_6h_growth_ci_lower,log_volume_6h_growth_ci_upper,open_interest_growth_per_hour,open_interest_growth_per_hour_ci_lower,open_interest_growth_per_hour_ci_upper,absolute_revision,absolute_revision_ci_lower,absolute_revision_ci_upper,brier_reduction,brier_reduction_ci_lower,brier_reduction_ci_upper,share_absolute_revision,share_brier_reduction,metric,middle_minus_other_interval_average,ci_lower,ci_upper,middle_significantly_larger,season,temperature_regime,liquidity_quartile_24h
horizon_activity,24.0,4281.0,1299.0,1350.8122261153935,1253.8891957653423,1464.0352054544853,2271.578287783228,2117.22390017679,2445.4491956840448,1639.2498037841626,1534.4928378039326,1745.6634794796132,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon_activity,12.0,4281.0,1299.0,4866.501973837888,4358.858615623335,5397.396537618221,8996.381530016351,8086.47303376617,9862.27708511741,6391.220990422798,5743.907893639172,7193.911147700585,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon_activity,6.0,4281.0,1299.0,11765.227224947443,10666.679560259658,12907.608762187476,19992.89169352955,18420.27647016581,21843.099918918764,13100.74877832282,11714.892947567421,14681.326233282989,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon_activity,1.0,4281.0,1299.0,6084.261572062602,5475.032460841632,6737.656938192171,22898.9919855174,21031.061843604646,25253.408304392113,15736.601434244334,14238.59032084057,17532.646231389455,,,,,,,,,,,,,,,,,,,,,,,,,,,
interval_summary,,4281.0,1299.0,,,,,,,,,,24h_to_12h,12.0,574.5990459783541,509.55630848651623,643.2815606747602,0.8827616014333202,0.8089219042050543,0.9602055707515109,395.99759888655296,346.59653742579445,457.3713931712727,0.10888577435178697,0.10491445644005352,0.11327406561680656,0.0193104414856342,0.014774052313936682,0.023651804495275746,0.2956878068584043,0.13590404846698598,,,,,,,,
interval_summary,,4281.0,1299.0,,,,,,,,,,12h_to_6h,6.0,1957.708637390018,1774.952839224687,2153.20366091431,0.5187821423329333,0.4463298680706608,0.587605043507031,1118.2546313166704,980.4749861999843,1277.1333140754684,0.20497664097173554,0.1984863417829604,0.21162555982257514,0.09987372693295958,0.09342864592131188,0.10545294591936454,0.5566300445301497,0.7028966083335347,,,,,,,,
interval_summary,,4281.0,1299.0,,,,,,,,,,6h_to_1h,5.0,784.6976033637,689.5023477274342,891.1150586494391,-1.2890283200054293,-1.370244283228809,-1.2061864260077222,527.1705311843028,454.50682924621844,611.7905602136561,0.05438332165381919,0.048783045238235616,0.06051853835282089,0.022904619247839292,0.019016037564543956,0.02691944656871366,0.14768214861144588,0.16119934319947934,,,,,,,,
activity_tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,volume_per_hour,1278.0603127189909,1125.3890536925544,1439.4841138580787,True,,,
activity_tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open_interest_growth_per_hour,656.6705662812426,545.6614932790129,781.918375001109,True,,,
activity_tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,absolute_revision,0.1233420929689325,0.1155126996278019,0.13083329488912396,True,,,
