forecast_horizon_hours,liquidity_quartile,observations,events,median_volume_24h,median_open_interest,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,ece,ece_ci_lower,ece_ci_upper
24,Q1_low,1978,950,31.0,28.0,0.11072894337714864,0.1030999580516882,0.11841668459353111,0.3484104041867751,0.32857346711471647,0.3686201478190899,0.06000000000000001,0.04815210084033614,0.07381819433281787
24,Q2,1977,1099,419.0,337.0,0.1453309812847749,0.13765468264391953,0.15299879242423725,0.43960621516402304,0.41755325250357544,0.45999908698028197,0.033763277693474966,0.028005416205914114,0.051978877397255936
24,Q3,1977,1104,1112.0,857.0,0.1467325746079919,0.13794395366656506,0.15480094233523556,0.44208379352137617,0.4205300706968003,0.4627166251422857,0.02590794132524026,0.01931904386998888,0.044771890876637466
24,Q4_high,1978,651,3667.5,2663.0,0.14159903943377147,0.13431997043212243,0.14872544693589876,0.4301711489023965,0.4125283878310411,0.44899812907131886,0.014170879676440838,0.013403381700232291,0.03374568828594475
12,Q1_low,2056,934,115.0,100.0,0.09702124270428016,0.09015495329342921,0.10409548690948699,0.29971435005009694,0.2802956711203057,0.3196352825668796,0.06954523346303501,0.05961831263429234,0.08322231219446474
12,Q2,2055,1079,779.0,580.0,0.145307299270073,0.13768211564375196,0.15337703190942073,0.4335084810902823,0.4123719141078163,0.455490293369893,0.05445742092457421,0.04268093980009737,0.07159093274763399
12,Q3,2055,1056,2443.0,1776.0,0.11133723844282238,0.10345850132342505,0.12033232146426621,0.3433491500142805,0.3220559830479145,0.3670065015370297,0.0222603406326034,0.018741776302700543,0.038874978397717745
12,Q4_high,2055,571,12434.7,8603.0,0.11479518248175183,0.10528736666583739,0.12324627074014644,0.3505506558282013,0.32616887565408526,0.37650675584121635,0.01371289537712895,0.012173599891280291,0.032979343417897614
6,Q1_low,1627,856,404.0,393.0,0.05803889059618931,0.05201125972443014,0.06341842192063202,0.19211411588054153,0.17565451529519738,0.2089191223787572,0.0854179471419791,0.07570147993607529,0.09721002263201106
6,Q2,1626,917,1561.0,1144.0,0.03479306580565805,0.029487246958027825,0.04063467186692056,0.12279074466598419,0.10701937367689277,0.14026213859166528,0.042998154981549824,0.03495993364256072,0.05324000535196353
6,Q3,1626,828,7590.5,5319.5,0.014208010455104553,0.009529430793881827,0.019699733096163935,0.056365876717344665,0.042200093935564564,0.07345221448202555,0.014793972939729404,0.012174230516801684,0.02227572717430922
6,Q4_high,1627,547,34200.0,19619.43,0.0227590196681008,0.015177292114460466,0.030832497556307892,0.08001098211888297,0.05806880469344405,0.10575754939923435,0.008202212661339888,0.006856190028526964,0.01802106505091957
1,Q1_low,1193,695,411.0,494.0,0.02458635792120704,0.01975380265957447,0.029746416399387424,0.08716819082136282,0.07344214619757575,0.10210397904847349,0.06112740989103102,0.05157712276242931,0.07096039912606791
1,Q2,1193,767,2251.0,1867.0,0.01082797569153395,0.0066071596776258795,0.015206333185256863,0.04267684547804061,0.030688812174514385,0.05756839321003505,0.016450125733445096,0.011194276740084686,0.022981248973783584
1,Q3,1192,578,13148.0,8940.0,0.004387164429530201,0.0018143403825548847,0.007734639587088385,0.01913045315685085,0.011892945067381816,0.02694860257260813,0.009454697986577186,0.00870457441978617,0.014992286559594243
1,Q4_high,1193,443,47637.86,28387.0,0.009064857502095559,0.003926124913563598,0.014459858613162983,0.03323015389099674,0.019151117488884695,0.050613115494920216,0.011202849958088828,0.0071374320856199365,0.019260029746314435
