event_id,event_date,realized_high_f,forecast_high_24h_f,forecast_error_24h_f,absolute_forecast_error_24h_f,run_initialization_24h,assumed_available_at_24h,forecast_high_12h_f,forecast_error_12h_f,absolute_forecast_error_12h_f,run_initialization_12h,assumed_available_at_12h,forecast_high_6h_f,forecast_error_6h_f,absolute_forecast_error_6h_f,run_initialization_6h,assumed_available_at_6h,forecast_revision_24h_to_12h_f,absolute_forecast_revision_24h_to_12h_f,forecast_error_reduction_24h_to_12h_f,forecast_revision_12h_to_6h_f,absolute_forecast_revision_12h_to_6h_f,forecast_error_reduction_12h_to_6h_f
HIGHNY-24MAR15,2024-03-15,73,65.2,-7.799999999999997,7.799999999999997,2024-03-14 12:00:00+00:00,2024-03-14 18:00:00+00:00,67.6,-5.400000000000006,5.400000000000006,2024-03-15 00:00:00+00:00,2024-03-15 06:00:00+00:00,68.9,-4.099999999999994,4.099999999999994,2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,2.3999999999999915,2.3999999999999915,2.3999999999999915,1.3000000000000114,1.3000000000000114,1.3000000000000114
HIGHNY-24MAR16,2024-03-16,61,58.6,-2.3999999999999986,2.3999999999999986,2024-03-15 12:00:00+00:00,2024-03-15 18:00:00+00:00,57.7,-3.299999999999997,3.299999999999997,2024-03-16 00:00:00+00:00,2024-03-16 06:00:00+00:00,57.8,-3.200000000000003,3.200000000000003,2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,-0.8999999999999986,0.8999999999999986,-0.8999999999999986,0.09999999999999432,0.09999999999999432,0.09999999999999432
HIGHNY-24MAR17,2024-03-17,63,57.4,-5.600000000000001,5.600000000000001,2024-03-16 12:00:00+00:00,2024-03-16 18:00:00+00:00,58.5,-4.5,4.5,2024-03-17 00:00:00+00:00,2024-03-17 06:00:00+00:00,59.5,-3.5,3.5,2024-03-17 12:00:00+00:00,2024-03-17 18:00:00+00:00,1.1000000000000014,1.1000000000000014,1.1000000000000014,1.0,1.0,1.0
HIGHNY-24MAR18,2024-03-18,51,49.0,-2.0,2.0,2024-03-17 12:00:00+00:00,2024-03-17 18:00:00+00:00,49.0,-2.0,2.0,2024-03-18 00:00:00+00:00,2024-03-18 06:00:00+00:00,47.6,-3.3999999999999986,3.3999999999999986,2024-03-18 12:00:00+00:00,2024-03-18 18:00:00+00:00,0.0,0.0,0.0,-1.3999999999999986,1.3999999999999986,-1.3999999999999986
HIGHNY-24MAR19,2024-03-19,48,43.8,-4.200000000000003,4.200000000000003,2024-03-18 12:00:00+00:00,2024-03-18 18:00:00+00:00,43.9,-4.100000000000001,4.100000000000001,2024-03-19 00:00:00+00:00,2024-03-19 06:00:00+00:00,44.1,-3.8999999999999986,3.8999999999999986,2024-03-19 12:00:00+00:00,2024-03-19 18:00:00+00:00,0.10000000000000142,0.10000000000000142,0.10000000000000142,0.20000000000000284,0.20000000000000284,0.20000000000000284
HIGHNY-24MAR20,2024-03-20,57,55.7,-1.2999999999999972,1.2999999999999972,2024-03-19 12:00:00+00:00,2024-03-19 18:00:00+00:00,55.7,-1.2999999999999972,1.2999999999999972,2024-03-20 00:00:00+00:00,2024-03-20 06:00:00+00:00,53.6,-3.3999999999999986,3.3999999999999986,2024-03-20 12:00:00+00:00,2024-03-20 18:00:00+00:00,0.0,0.0,0.0,-2.1000000000000014,2.1000000000000014,-2.1000000000000014
HIGHNY-24MAR21,2024-03-21,43,39.1,-3.8999999999999986,3.8999999999999986,2024-03-20 12:00:00+00:00,2024-03-20 18:00:00+00:00,39.4,-3.6000000000000014,3.6000000000000014,2024-03-21 00:00:00+00:00,2024-03-21 06:00:00+00:00,40.5,-2.5,2.5,2024-03-21 12:00:00+00:00,2024-03-21 18:00:00+00:00,0.29999999999999716,0.29999999999999716,0.29999999999999716,1.1000000000000014,1.1000000000000014,1.1000000000000014
HIGHNY-24MAR22,2024-03-22,46,42.7,-3.299999999999997,3.299999999999997,2024-03-21 12:00:00+00:00,2024-03-21 18:00:00+00:00,42.9,-3.1000000000000014,3.1000000000000014,2024-03-22 00:00:00+00:00,2024-03-22 06:00:00+00:00,43.9,-2.1000000000000014,2.1000000000000014,2024-03-22 12:00:00+00:00,2024-03-22 18:00:00+00:00,0.19999999999999574,0.19999999999999574,0.19999999999999574,1.0,1.0,1.0
HIGHNY-24MAR23,2024-03-23,50,50.6,0.6000000000000014,0.6000000000000014,2024-03-22 12:00:00+00:00,2024-03-22 18:00:00+00:00,49.5,-0.5,0.5,2024-03-23 00:00:00+00:00,2024-03-23 06:00:00+00:00,46.7,-3.299999999999997,3.299999999999997,2024-03-23 12:00:00+00:00,2024-03-23 18:00:00+00:00,-1.1000000000000014,1.1000000000000014,0.10000000000000142,-2.799999999999997,2.799999999999997,-2.799999999999997
HIGHNY-24MAR24,2024-03-24,48,44.1,-3.8999999999999986,3.8999999999999986,2024-03-23 12:00:00+00:00,2024-03-23 18:00:00+00:00,45.3,-2.700000000000003,2.700000000000003,2024-03-24 00:00:00+00:00,2024-03-24 06:00:00+00:00,45.0,-3.0,3.0,2024-03-24 12:00:00+00:00,2024-03-24 18:00:00+00:00,1.1999999999999957,1.1999999999999957,1.1999999999999957,-0.29999999999999716,0.29999999999999716,-0.29999999999999716
